Cinsiyet,Kisi_Sayisi,Tatil_Turu,Atmosfer,Grup_Tipi,Yeme_Icme,Cevre,Konaklama_Tipi,Butce_TL,Onerilen_Yer,Gecelik_Fiyat_TL
Kadın,3,Doğa,Gece Hayatı,Balayı,Sadece Kahvaltı,Dağ,Bungalov,12663,Mykonos - Yunanistan (Gece Hayatı),11024
Kadın,4,Orman,Sessiz,Aile (Bebekli),Yemeksiz,Havuz,Airbnb,6000,Antalya - Olympos (Doğa/Bungalov),1318
Kadın,4,Kültür,Eğlenceli,Aile (Çocuksuz),Yemeksiz,Havuz,Bungalov,16419,Bali - Endonezya (Doğa/Egzotik),15487
Kadın,6,Kültür,Gece Hayatı,Arkadaş Grubu,Her Şey Dahil,Havuz,Otel,9083,Muğla - Fethiye (Deniz/Macera),4269
Erkek,2,Orman,Sessiz,Aile (Bebekli),Sadece Kahvaltı,Dağ,Otel,6882,Rize - Ayder (Doğa/Orman),3650
Kadın,3,Deniz,Eğlenceli,Aile (Çocuksuz),Her Şey Dahil,Ada,Airbnb,13511,Santorini - Yunanistan (Deniz/Balayı),11324
Kadın,4,Orman,Sessiz,Aile (Bebekli),Yemeksiz,Deniz,Bungalov,21472,Las Vegas - ABD (Gece Hayatı/Eğlence),16644
Erkek,2,Kültür,Eğlenceli,Arkadaş Grubu,Yemeksiz,Ada,Villa,17392,Machu Picchu - Peru (Macera/Kültür),13746
Kadın,1,Deniz,Aktif,Tek Kişi,Yemeksiz,Deniz,Otel,18251,İsviçre Alpleri (Dağ/Doğa),19101
Erkek,2,Kültür,Sessiz,Aile (Çocuksuz),Her Şey Dahil,Dağ,Villa,11346,İzmir - Alaçatı (Eğlence/Gece Hayatı),6613
Erkek,4,Deniz,Sessiz,Arkadaş Grubu,Her Şey Dahil,Orman,Villa,7520,Antalya - Kaş (Deniz/Eğlence),3722
Erkek,6,Orman,Sessiz,Balayı,Sadece Kahvaltı,Havuz,Airbnb,16435,Las Vegas - ABD (Gece Hayatı/Eğlence),14610
Kadın,4,Kültür,Aktif,Aile (Bebekli),Her Şey Dahil,Dağ,Bungalov,5201,İzmir - Alaçatı (Eğlence/Gece Hayatı),5660
Kadın,6,Deniz,Aktif,Arkadaş Grubu,Sadece Kahvaltı,Deniz,Bungalov,7379,Antalya - Olympos (Doğa/Bungalov),3798
Erkek,6,Doğa,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Ada,Airbnb,29798,Seyşeller (Lüks/Ada),30308
Erkek,4,Deniz,Sessiz,Aile (Çocuksuz),Her Şey Dahil,Havuz,Villa,15308,Las Vegas - ABD (Gece Hayatı/Eğlence),15492
Kadın,1,Orman,Gece Hayatı,Arkadaş Grubu,Yemeksiz,Havuz,Otel,13083,Phuket - Tayland (Ada/Aktif),13808
Kadın,2,Doğa,Eğlenceli,Balayı,Her Şey Dahil,Dağ,Villa,14267,Kenya - Masai Mara Safari (Macera/Orman),15912
Kadın,2,Deniz,Sessiz ve Aktif,Arkadaş Grubu,Yemeksiz,Orman,Bungalov,1790,Muğla - Fethiye (Deniz/Macera),3315
Kadın,3,Orman,Sessiz ve Aktif,Tek Kişi,Sadece Kahvaltı,Orman,Villa,2222,Antalya - Olympos (Doğa/Bungalov),2534
Erkek,4,Orman,Sessiz ve Aktif,Aile (Çocuksuz),Her Şey Dahil,Dağ,Otel,19785,İsviçre Alpleri (Dağ/Doğa),17487
Kadın,2,Deniz,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Dağ,Airbnb,17852,Bali - Endonezya (Doğa/Egzotik),16153
Erkek,5,Orman,Sessiz ve Aktif,Balayı,Yemeksiz,Deniz,Villa,5189,Antalya - Kaş (Deniz/Eğlence),3739
Erkek,2,Macera,Sessiz,Aile (Bebekli),Sadece Kahvaltı,Ada,Villa,19433,Las Vegas - ABD (Gece Hayatı/Eğlence),17345
Erkek,3,Macera,Eğlenceli,Balayı,Yemeksiz,Ada,Villa,17208,Machu Picchu - Peru (Macera/Kültür),13426
Erkek,5,Kültür,Gece Hayatı,Tek Kişi,Sadece Kahvaltı,Ada,Airbnb,2539,Antalya - Olympos (Doğa/Bungalov),1491
Kadın,6,Doğa,Sessiz ve Aktif,Tek Kişi,Sadece Kahvaltı,Ada,Airbnb,5232,Antalya - Olympos (Doğa/Bungalov),3430
Kadın,5,Macera,Sessiz,Tek Kişi,Her Şey Dahil,Dağ,Villa,22219,İsviçre Alpleri (Dağ/Doğa),18090
Kadın,2,Macera,Eğlenceli,Tek Kişi,Sadece Kahvaltı,Dağ,Airbnb,10214,İzmir - Alaçatı (Eğlence/Gece Hayatı),5752
Kadın,3,Orman,Sessiz,Arkadaş Grubu,Her Şey Dahil,Dağ,Villa,7692,Santorini - Yunanistan (Deniz/Balayı),9223
Kadın,6,Kültür,Gece Hayatı,Arkadaş Grubu,Her Şey Dahil,Dağ,Bungalov,6340,İzmir - Alaçatı (Eğlence/Gece Hayatı),6917
Erkek,2,Kültür,Sessiz,Aile (Bebekli),Sadece Kahvaltı,Deniz,Airbnb,14460,İbiza - İspanya (Gece Hayatı/Deniz),13441
Erkek,1,Macera,Sessiz,Aile (Bebekli),Her Şey Dahil,Deniz,Bungalov,7872,İzmir - Alaçatı (Eğlence/Gece Hayatı),6953
Erkek,6,Macera,Sessiz ve Aktif,Arkadaş Grubu,Sadece Kahvaltı,Ada,Bungalov,6266,Bolu - Yedigöller (Doğa/Sessiz),3092
Kadın,5,Doğa,Eğlenceli,Aile (Bebekli),Sadece Kahvaltı,Deniz,Bungalov,3802,Rize - Ayder (Doğa/Orman),2149
